temperature,humidity
25.2,38.1
25.2,38.1
25.2,38.1
25.2,38.1
25.2,38
25.2,38
25.2,38
25.2,38
25.3,38
25.3,38
25.3,38
25.2,38
25.3,38
25.3,38
25.3,38
25.3,37.9
25.3,37.9
25.3,37.8
25.3,37.8
25.3,37.8
25.3,37.7
25.3,37.7
25.3,37.7
25.3,37.7
25.3,37.7
25.3,37.7
