timestamp,x,y,z
2025-09-16 22:01:20,-0.0027008056640625,-0.0237884521484375,-0.9931640625
2025-09-16 22:01:21,-0.0047607421875,-0.0237884521484375,-0.9931640625
2025-09-16 22:01:22,-0.0047607421875,-0.0237884521484375,-0.9921875
2025-09-16 22:01:23,-0.0029144287109375,-0.0237884521484375,-0.9921875
2025-09-16 22:01:24,-0.0029144287109375,-0.023590087890625,-0.9921875
2025-09-16 22:01:25,-0.0029144287109375,-0.023590087890625,-0.9935302734375
2025-09-16 22:01:26,-0.003662109375,-0.023590087890625,-0.9935302734375
2025-09-16 22:01:27,-0.003662109375,-0.0249786376953125,-0.9935302734375
2025-09-16 22:01:28,-0.003662109375,-0.0249786376953125,-0.9935150146484375
2025-09-16 22:01:29,-0.0034637451171875,-0.0249786376953125,-0.9935150146484375
2025-09-16 22:01:30,-0.0034637451171875,-0.02484130859375,-0.9935150146484375
2025-09-16 22:01:31,-0.0034637451171875,-0.02484130859375,-0.992767333984375
2025-09-16 22:01:32,-0.0029449462890625,-0.02484130859375,-0.992767333984375
2025-09-16 22:01:33,-0.0029449462890625,-0.0242462158203125,-0.992767333984375
2025-09-16 22:01:34,-0.0029449462890625,-0.0242462158203125,-0.993438720703125
2025-09-16 22:01:35,-0.00238037109375,-0.0242462158203125,-0.993438720703125
2025-09-16 22:01:36,-0.00238037109375,-0.023834228515625,-0.993438720703125
2025-09-16 22:01:37,-0.00238037109375,-0.023834228515625,-0.99249267578125
2025-09-16 22:01:39,-0.0027618408203125,-0.023834228515625,-0.99249267578125
2025-09-16 22:01:40,-0.0027618408203125,-0.025146484375,-0.99249267578125
2025-09-16 22:01:41,-0.0027618408203125,-0.025146484375,-0.9921417236328125
2025-09-16 22:01:42,-0.002685546875,-0.025146484375,-0.9921417236328125
2025-09-16 22:01:43,-0.002685546875,-0.0241546630859375,-0.9921417236328125
2025-09-16 22:01:44,-0.002685546875,-0.0241546630859375,-0.9936065673828125
2025-09-16 22:01:45,-0.0039520263671875,-0.0241546630859375,-0.9936065673828125
2025-09-16 22:01:46,-0.0039520263671875,-0.024932861328125,-0.9936065673828125
2025-09-16 22:01:47,-0.0039520263671875,-0.024932861328125,-0.993194580078125
2025-09-16 22:01:48,-0.0013885498046875,-0.024932861328125,-0.993194580078125
2025-09-16 22:01:49,-0.0013885498046875,-0.023773193359375,-0.993194580078125
2025-09-16 22:01:50,-0.0013885498046875,-0.023773193359375,-0.9928436279296875
2025-09-16 22:01:51,-0.0037841796875,-0.023773193359375,-0.9928436279296875
2025-09-16 22:01:52,-0.0037841796875,-0.0254364013671875,-0.9928436279296875
2025-09-16 22:01:53,-0.0037841796875,-0.0254364013671875,-0.99334716796875
2025-09-16 22:01:54,-0.0037841796875,-0.0243988037109375,-0.99334716796875
2025-09-16 22:01:55,-0.0037841796875,-0.0243988037109375,-0.991943359375
2025-09-16 22:01:56,-0.00250244140625,-0.0243988037109375,-0.991943359375
2025-09-16 22:01:57,-0.00250244140625,-0.0244598388671875,-0.991943359375
2025-09-16 22:01:58,-0.00250244140625,-0.0244598388671875,-0.993072509765625
2025-09-16 22:01:59,-0.0029754638671875,-0.0244598388671875,-0.993072509765625
2025-09-16 22:02:00,-0.0029754638671875,-0.02459716796875,-0.993072509765625
2025-09-16 22:02:01,-0.0029754638671875,-0.02459716796875,-0.9929046630859375
2025-09-16 22:02:02,-0.00396728515625,-0.02459716796875,-0.9929046630859375
2025-09-16 22:02:03,-0.00396728515625,-0.023834228515625,-0.9929046630859375
2025-09-16 22:02:04,-0.00396728515625,-0.023834228515625,-0.9928741455078125
2025-09-16 22:02:05,-0.236083984375,-0.023834228515625,-0.9928741455078125
2025-09-16 22:02:06,-0.236083984375,-0.1268157958984375,-0.9928741455078125
2025-09-16 22:02:07,-0.236083984375,-0.1268157958984375,-0.8836212158203125
2025-09-16 22:02:08,-0.45440673828125,-0.1268157958984375,-0.8836212158203125
2025-09-16 22:02:09,-0.45440673828125,-0.101837158203125,-0.8836212158203125
2025-09-16 22:02:10,-0.45440673828125,-0.101837158203125,0.8404693603515625
2025-09-16 22:02:12,-0.7079315185546875,-0.101837158203125,0.8404693603515625
2025-09-16 22:02:13,-0.7079315185546875,-0.870361328125,0.8404693603515625
2025-09-16 22:02:14,-0.7079315185546875,-0.870361328125,-0.1923370361328125
2025-09-16 22:02:15,0.018585205078125,-0.870361328125,-0.1923370361328125
2025-09-16 22:02:16,0.018585205078125,-0.416229248046875,-0.1923370361328125
2025-09-16 22:02:17,0.018585205078125,-0.416229248046875,-0.98248291015625
2025-09-16 22:02:18,0.0948028564453125,-0.416229248046875,-0.98248291015625
2025-09-16 22:02:19,0.0948028564453125,-0.2612762451171875,-0.98248291015625
2025-09-16 22:02:20,0.0948028564453125,-0.2612762451171875,-0.969879150390625
2025-09-16 22:02:21,0.381744384765625,-0.2612762451171875,-0.969879150390625
2025-09-16 22:02:22,0.381744384765625,-0.0195159912109375,-0.969879150390625
2025-09-16 22:02:23,0.381744384765625,-0.0195159912109375,-0.9544830322265625
2025-09-16 22:02:24,0.2257843017578125,-0.0195159912109375,-0.9544830322265625
2025-09-16 22:02:25,0.2257843017578125,-0.0882110595703125,-0.9544830322265625
2025-09-16 22:02:26,0.2257843017578125,-0.0882110595703125,-0.8528594970703125
2025-09-16 22:02:27,0.621612548828125,-0.0882110595703125,-0.8528594970703125
2025-09-16 22:02:28,0.621612548828125,-0.578826904296875,-0.8528594970703125
2025-09-16 22:02:29,0.621612548828125,-0.578826904296875,-0.44598388671875
