soilRaw,temperature_C,humidity_pct,soilMoisture_pct,accelX,accelY,accelZ,movementFlag,status
696,19.20,56.10,29.00,0.065,0.023,1.048,0,WATER NOW
711,19.20,55.80,26.00,0.051,0.009,1.011,0,WATER NOW
693,19.20,55.60,29.00,0.049,0.012,1.012,0,WATER NOW
689,19.20,55.60,30.00,0.050,0.011,1.011,0,OK
703,19.20,55.80,27.00,0.046,0.010,1.010,0,WATER NOW
705,19.20,55.60,27.00,0.055,0.010,1.012,0,WATER NOW
702,19.20,55.60,27.00,0.073,0.023,1.011,0,WATER NOW
699,19.30,55.60,28.00,0.125,-0.037,1.003,0,WATER NOW
700,19.30,55.50,28.00,0.110,-0.036,1.008,0,WATER NOW
695,19.30,56.80,29.00,0.119,-0.012,1.007,0,WATER NOW
702,19.30,56.20,27.00,0.095,-0.024,1.010,0,WATER NOW
700,19.30,55.60,28.00,0.096,-0.023,1.005,0,WATER NOW
700,19.30,55.40,28.00,0.094,-0.022,1.012,0,WATER NOW
684,19.30,55.40,31.00,0.096,-0.021,1.010,0,OK
700,19.30,55.30,28.00,0.072,-0.052,1.009,0,WATER NOW
694,19.30,55.10,29.00,0.068,-0.056,1.010,0,WATER NOW
699,19.30,55.20,28.00,0.067,-0.056,1.011,0,WATER NOW
675,19.30,55.20,33.00,0.066,-0.058,1.009,0,OK
698,19.30,55.10,28.00,0.076,-0.055,1.010,0,WATER NOW
682,19.30,55.10,31.00,0.073,-0.064,1.010,0,OK
691,19.30,55.10,30.00,0.072,-0.065,1.009,0,OK
697,19.30,55.20,28.00,0.088,-0.037,1.004,0,WATER NOW
692,19.30,55.10,29.00,0.086,-0.041,1.011,0,WATER NOW
696,19.20,55.00,29.00,0.086,-0.041,1.008,0,WATER NOW
699,19.20,55.00,28.00,0.083,-0.041,1.014,0,WATER NOW
701,19.20,55.00,28.00,0.086,-0.042,1.011,0,WATER NOW
693,19.30,55.00,29.00,0.086,-0.040,1.009,0,WATER NOW
